_file,DOC_BRANCH_CODE,DOC_BRANCH_NAME,เลขที่รับ,วันที่ใบรับ,ยี่ห้อ,BRAND,รุ่นรถ,แบบรถ,รหัสผลิตภัณฑ์,รหัสสี,สี,หมายเลขเครื่อง,หมายเลขตัวถัง,ประเภทรถ,ต้นทุนต่อหน่วย,ภาษีของต้นทุนต่อหน่วย,จำนวนรับ,รหัสที่เก็บ,ชื่อที่เก็บ,ประเภทที่เก็บ,เลขที่เอกสาร,วันที่เอกสาร,ประเภทเอกสาร,สถานะเอกสาร,TAXID,ชื่อเจ้าหนี้,เลขที่ใบกำกับภาษี,วันที่ใบกำกับภาษี,สั่งซื้อ_สั่งโอน,ค้างรับสั่งซื้อ_สั่งโอน,ต้นทุนต่อหน่วยสั่งซื้อ_สั่งโอน,REPORT_NAME,REPORT_DATE_START,REPORT_DATE_STOP
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900039,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010C,500,ฟ้า,E34RE-057401,MLEUE364111399878,รถใหม่,40800,2856,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900002,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946710,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900039,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010B,600,เขียว,E34RE-053394,MLEUE364111399297,รถใหม่,40800,2856,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900002,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946710,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900039,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010B,600,เขียว,E34RE-057336,MLEUE364111399710,รถใหม่,40800,2856,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900002,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946710,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900039,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010B,600,เขียว,E34RE-057369,MLEUE364111399799,รถใหม่,40800,2856,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900002,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946710,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900040,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FT00,B6FT00010B,100,แดง,E34RE-056037,MLEUE362111149086,รถใหม่,39000,2730,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900003,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946713,2024-11-09,1,0,39000,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900041,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FS00,B6FS00010A,300,ดำ,E34RE-059453,MLEUE366111022832,รถใหม่,36000,2520,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900004,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946709,2024-11-09,1,0,36000,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900042,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010A,200,น้ำเงิน,E34RE-056590,MLEUE364111399600,รถใหม่,40800,2856,1,26,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900005,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946711,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900042,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010A,200,น้ำเงิน,E34RE-056652,MLEUE364111399596,รถใหม่,40800,2856,1,26,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900005,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946711,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900042,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FU00,B6FU00010A,200,น้ำเงิน,E34RE-056685,MLEUE364111399569,รถใหม่,40800,2856,1,26,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900005,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946711,2024-11-09,1,0,40800,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
110967fg.xls,FMG01,สำนักงานใหญ่,SMG01/REC_P240900043,2024-09-11,ยามาฮ่า,YAMAHA,FINN,B6FS00,B6FS00010A,300,ดำ,E34RE-059443,MLEUE366111022833,รถใหม่,36000,2520,1,0,สำนักงานใหญ่,สำหรับขาย,SMG01/RMC240900006,2024-11-09,ใบจัดซื้อ,รับแล้ว,105507000645,บริษัท ไทยยามาฮ่ามอเตอร์ จำกัด,1946712,2024-11-09,1,0,36000,รายงานการรับรถจักรยานยนต์,2024-11-09,2024-11-09
